protocol,ether_src_mac,ether_dst_mac,ip_src,ip_dst,ip_len,ip_flags_df,ip_flags_mf,ip_frag_offset,ip_id,ip_ttl,ip_proto,ip_checksum,tcp_window_size,tcp_ack,tcp_seq,tcp_len,tcp_stream,tcp_urgent_pointer,tcp_flags,tcp_analysis_ack_rtt,tcp_analysis_push_bytes_sent,tcp_analysis_bytes_in_flight,frame_time_relative,frame_time_delta,modbus_length,modbus_unit_id,modbus_func_code,modbus_data,attack_specific,attack_category,attack_obj,attack_binary
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xeffc,64,6,0xc949,502,1,1,12,0,0,0x0018,N/A,12,12,0.000000000,0.000000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa64c,64,6,0x12fb,509,13,1,11,0,0,0x0018,0.000350324,11,11,0.000350324,0.000350324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xeffd,64,6,0xc954,502,12,13,0,0,0,0x0010,0.000011621,N/A,N/A,0.000361945,0.000011621,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,d6:a4:f0:6f:d6:c6,192.168.0.21,192.168.0.14,64,1,0,0,0xb585,64,6,0x03bf,502,1,1,12,1,0,0x0018,N/A,12,12,0.112287338,0.111925393,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,d6:a4:f0:6f:d6:c6,3a:28:b4:02:e8:91,192.168.0.14,192.168.0.21,64,1,0,0,0x10bd,64,6,0xa887,509,13,1,12,1,0,0x0018,0.000361625,12,12,0.112648963,0.000361625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,d6:a4:f0:6f:d6:c6,192.168.0.21,192.168.0.14,52,1,0,0,0xb586,64,6,0x03ca,502,13,13,0,1,0,0x0010,0.000014677,N/A,N/A,0.112663640,0.000014677,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,64,1,0,0,0xee38,64,6,0xcb0c,502,1,1,12,2,0,0x0018,N/A,12,12,0.134475903,0.021812263,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,4e:d1:fa:b3:e4:46,3a:28:b4:02:e8:91,192.168.0.13,192.168.0.21,63,1,0,0,0xe57a,64,6,0xd3cb,509,13,1,11,2,0,0x0018,0.000347449,11,11,0.134823352,0.000347449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,52,1,0,0,0xee39,64,6,0xcb17,502,12,13,0,2,0,0x0010,0.000013675,N/A,N/A,0.134837027,0.000013675,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xeffe,64,6,0xc947,502,12,13,12,0,0,0x0018,N/A,12,12,0.200802450,0.065965423,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa64d,64,6,0x12fa,509,25,12,11,0,0,0x0018,0.000443776,11,11,0.201246226,0.000443776,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xefff,64,6,0xc952,502,23,25,0,0,0,0x0010,0.000013635,N/A,N/A,0.201259861,0.000013635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf000,64,6,0xc945,502,23,25,12,0,0,0x0018,N/A,12,12,0.401710504,0.200450643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa64e,64,6,0x12f9,509,37,23,11,0,0,0x0018,0.000563997,11,11,0.402274501,0.000563997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf001,64,6,0xc950,502,34,37,0,0,0,0x0010,0.000018845,N/A,N/A,0.402293346,0.000018845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf002,64,6,0xc943,502,34,37,12,0,0,0x0018,N/A,12,12,0.602735544,0.200442198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa64f,64,6,0x12f8,509,49,34,11,0,0,0x0018,0.000449646,11,11,0.603185190,0.000449646,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf003,64,6,0xc94e,502,45,49,0,0,0,0x0010,0.000017693,N/A,N/A,0.603202883,0.000017693,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
